OntoName,Category,Ranking_CORR_CTime,Racer_ETime,Racer_CTime,Racer_CORR,ELepHant_ETime,ELepHant_CTime,ELepHant_CORR,TrOWL_ETime,TrOWL_CTime,TrOWL_CORR,JFact_ETime,JFact_CTime,JFact_CORR,MOReHermiT_ETime,MOReHermiT_CTime,MOReHermiT_CORR,Konclude_ETime,Konclude_CTime,Konclude_CORR,FaCT++_ETime,FaCT++_CTime,FaCT++_CORR,ELK_ETime,ELK_CTime,ELK_CORR,Pellet-OA4_ETime,Pellet-OA4_CTime,Pellet-OA4_CORR,HermiT-OA4_ETime,HermiT-OA4_CTime,HermiT-OA4_CORR,DLFamily,OPR,AxMaxNesting,AvgNbrRestrict,HMaxNbr,HP_MaxDepth,SRBx,DpDISJ,SymmetricObjectProperty,OAS,ExactCardinality_C,DpEQUIV,HP_MultiParent,STBx,HP_MaxChildren,SDP,HC_MaxChildren,OpCHAIN,Complement_C,InverseFuncOPRatio,ClassAssertion,FunctionalObjectProperty,IrreflexiveOPRatio,FunctionalDataProperty,ObjectPropertyAssertion,IrrefexiveObjectProperty,GCI_C,SOP,ARichness,OP_COHESION,Union_R,HExtNbr,Indiv_SAME,DataPropertyAssertion,DisjointClasses,Complement_R,SubPropertyChainOf,MostCardinality_C,RRichness,Indiv_DIFF,AxiomMaxConst,RRBx,HP_MaxParents,HC_MaxParents,HP_MaxPropDegree,HC_MaxClassDegree,RTBx,CLS_NOM,SI,NPCD_Ratio,EquivalentClasses,OneOf_C,NPCD_C,RABx,ReflexiveOPRatio,DataPropertyDomain,SubObjectPropertyOf,Existentiel_C,SubDataPropertyOf,OpEQUIV,ClsDISJ_Ratio,OLAS,GCI_Ratio,ExactCardinality_R,TransitiveObjectProperty,OneOf_R,UI_Ratio,AxAvgNesting,SubClassOf,HasSelf_C,OntoConstructorDensity,EquivalentDataProperties,InverseOPRatio,SABx,Nom_Tbox,HasValue_R,SameIndividual,OpDISJ,LeastCardinality_R,DifferentIndividuals,PCD_Ratio,InverseFunctionalObjectProperty,EqDPRatio,MostCardinality_R,UI_Pattern,InverseObjectProperties,Existentiel_R,Intersection_C,Universal_R,Universal_C,HasValue_C,HasSelf_R,DisjointObjectProperties,HMinNbr,LeastCardinality_C,HC_MultiParents,EUR_Pattern,TransitiveOPRatio,EquivalentObjectProperties,SymmetricOPRatio,DataPropertyRange,CUR_Pattern,ReflexiveObjectProperty,HC_AvgChildren,DisjointUnion,EqOPRatio,Intersection_R,AsymmetricObjectProperty,FunctionalOPRatio,DisjOPRatio,EUR_Ratio,HP_COHESION,SC,HasHiearOPRatio,ChainOPRatio,PCD_C,ObjectPropertyDomain,HP_AvgChildren,Union_C,CUR_Ratio,ObjectPropertyRange,HC_DegreeCentrality,HP_DegreeCentrality,SDT
bern.owl_functional.owl,Train,"[MOReHermiT 1 1, Konclude 1 2, ELK 1 3, TrOWL 1 4, Pellet-OA4 1 5, Racer 1 6, HermiT-OA4 1 7, FaCT++ 1 8, JFact 1 9, ELepHant 4 10]",49741,10390,Correct,33,0,Exec_err,5106,2723,Correct,105762,103253,Correct,3103,537,Correct,3126,765,Correct,13986,11590,Correct,1753,1526,Correct,5758,3202,Correct,12891,10408,Correct,ALCHI(D),QL,3,0,0,3,68,0,0,228037,0,0,0,360,6,2,33,0,0,0,8.230652215,0,0,0,81.33865754,0,0,33,0.005730659,2.29546E-05,0,0,0,10.22722951,0.003327629,0,0,0,0.080729167,0,1,0.032325537,1,1,7,34,0.171135197,0,17293,0,0,0,0,0.047440834,0,0,0.009507511,8,0,0,1.719197708,210360,0,0,0,0,0,0.085981175,0.167807568,0,0.022222222,0,12.5,209932,0,0,0,0,0,0,98.05555556,0,0,0,0,0.000950751,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.149253731,0,0,0,0,0,0,0,0.089015152,349,62.5,0,353,0.010458262,2.857142857,0,0,0.011409013,0.092550267,0.192540323,1
cork.owl_functional.owl,Train,"[Konclude 1 1, FaCT++ 1 2, MOReHermiT 1 3, Racer 1 4, TrOWL 1 5, ELK 1 6, HermiT-OA4 1 7, Pellet-OA4 1 8, JFact 1 9, ELepHant 4 10]",4443,510,Correct,8,0,Exec_err,1369,573,Correct,3206,2097,Correct,1549,499,Correct,294,69,Correct,1089,281,Correct,821,606,Correct,2140,975,Correct,2043,927,Correct,ALCHI(D),QL,3,0,0,3,68,0,0,23378,0,0,0,360,6,2,33,0,0,0,10.46539551,0,0,0,73.08486624,0,0,33,0.005730659,2.29546E-05,0,0,0,14.39412132,0.033619903,0,0,0,0.080729167,0,1,0.326593343,1,1,7,34,1.729023582,0,2173,0,0,0,0,0.470411522,0,0,0.096056866,8,0,0,1.719197708,20821,0,0,0,0,0,0.141779934,1.695403679,0,0.022222222,0,12.5,20393,0,0,0,0,0,0,98.05555556,0,0,0,0,0.009605687,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.149253731,0,0,0,0,0,0,0,0.089015152,349,62.5,0,353,0.105662552,2.857142857,0,0,0.115268239,0.092550267,0.192540323,1
DCHARS.owl_functional.owl,Test,"[Konclude 1 1, TrOWL 1 2, MOReHermiT 2 3, ELK 2 3, Racer 3 5, FaCT++ 3 5, Pellet-OA4 3 5, HermiT-OA4 3 5, ELepHant 4 9, JFact 4 9]",211010,0,Timeout,6,0,Exec_err,6330,5805,Correct,992,0,Exec_err,6057,0,Unexpected,1498,1410,Correct,211050,0,Timeout,723,0,Unexpected,211009,0,Timeout,211010,0,Timeout,SROIQ(D),DL,8,8.239708029,1,6,547,0,0,4539,131,0,0,1378,10,14,27,12,3,0,26.44401861,0.301122365,0,0.301122365,18.50533808,0,31,176,0.020086083,7.6599E-06,1.833740831,1,0,1.587736107,3.120722694,0.366748166,0.273747605,5,0.329656067,0.41322314,4,14.97399398,1,2,11,28,37.72241993,33.1420373,726,5.805515239,3.038598412,3,80,1.294924339,0,0.328497126,2.956474131,249,0,6,6.599713056,3653,2.249637155,16.01466993,0.082124281,0.366748166,0.362844702,1.338078292,31.56309882,231,0.148766328,0,52.83446712,1728,0.550964187,0,0,0,0.122249389,0.766493293,77.72133527,0,0,0.611246944,5,1.368738024,30.4400978,125,6.723716381,55,0,28.2396088,0,2,1,0.143678161,1,0,0.082124281,0,0.328497126,0,0,3.082901554,0,1.814058957,15.28117359,0,6.802721088,0,0.07256894,0.021168831,697,50.34013605,31.29251701,1071,4.489460717,2.25,15,0,4.462085957,0.037936682,0.056486043,7
Der gross Ontology.owl_functional.owl,Train,"[Konclude 1 1, Racer 1 2, ELepHant 4 3, TrOWL 4 3, JFact 4 3, MOReHermiT 4 3, FaCT++ 4 3, ELK 4 3, Pellet-OA4 4 3, HermiT-OA4 4 3]",27,0,Correct,17,0,Exec_err,181,0,Exec_err,514,0,Exec_err,437,0,Exec_err,48,1,Correct,190,0,Exec_err,2,0,Exec_err,522,0,Exec_err,539,0,Exec_err,SROIQ(D),DL,77,2.682272727,1,3,154,4,0.010452379,54292,40,0,0,79,3,11,4,0,54,0,13.3853165,0,0,0,60.61543607,0,0,19,0.44,0.011666667,6.40569395,2,0,21.33330546,0.029266661,19.21708185,0,3,0.508928571,0,109,0.321933272,1,1,4,5,0.165147588,40,6403,0,0,19,0,0.208029348,0,0.073166653,0.037628564,2,0.020904758,0,52,47836,0,14.23487544,0.002090476,6.761565836,10.12658228,0.150054352,0.135880926,0,0.038903728,0,0,47603,0.327971263,0,0,8,8.185053381,0,82.27848101,0,0,1.067615658,8,0,0.711743772,48,26.33451957,74,0,0,0.012542855,3,23,0,1,0,0,38.02816901,0.020904758,4,0,2.5,0,0,17.08185053,0,0,71.12676056,1.265822785,0.189542484,25,100,0,65,0.062714274,2,18,5.063291139,0.068985701,0.153985507,0.176470588,2
DINTO_1.owl,Test,"[ELK 1 1, Konclude 1 2, TrOWL 1 3, Racer 3 4, JFact 3 4, MOReHermiT 3 4, Pellet-OA4 3 4, ELepHant 4 8, FaCT++ 4 8, HermiT-OA4 4 8]",211009,0,Timeout,80,0,Exec_err,5065,3262,Correct,211011,0,Timeout,211049,0,Timeout,4004,2429,Correct,47099,0,Exec_err,2123,1554,Correct,211014,0,Timeout,200940,0,Exec_err,ALCRIQ(D),PNAN,8,0,0,3,252,0,0.001613814,123930,1,0,0,123678,6,17,11555,12,0,0,0,0.001613814,0,0,0,0,11582,73,0.000658685,3.21117E-09,0.001657234,2,0,0,0.033890099,0,0.024207214,0,0.000646642,0,4,0.203340595,1,3,6,11556,99.7966594,0,0,0.000808551,9.349632857,0,1,0,0,0.013717421,0.057290406,109111,0,0,0.0891162,123930,9.364640437,0,0,0,0,3.06411684,90.41313645,0,0.243945973,0,60.5662072,0,0,0,0,0,0,0,74.61391678,0.001613814,0,0,0,0.027434842,90.41124268,11569,0,0,0,0,0,0,0,0.007749535,0,0,0,39.4337928,0.013717421,0,0,81.2741433,0,0,9.586271472,0,0,0,0,0.029733959,25809,99.99908351,12.42759733,92281,0.031469378,2.75,2,0,0.030662471,0.44774184,0.073641851,3
DINTO_1_inf_rules_ddis.owl,Train,"[ELK 1 1, Konclude 1 2, TrOWL 1 3, Racer 3 4, JFact 3 4, MOReHermiT 3 4, Pellet-OA4 3 4, ELepHant 4 8, FaCT++ 4 8, HermiT-OA4 4 8]",211009,0,Timeout,72,0,Exec_err,4805,3060,Correct,211013,0,Timeout,211065,0,Timeout,4074,2506,Correct,48807,0,Exec_err,2157,1489,Correct,211015,0,Timeout,160061,0,Exec_err,ALCRIQ(D),PNAN,8,0,0,3,273,0,0.001613528,123952,1,0,0,123679,6,17,11555,12,0,0,0,0.001613528,0,0,0,0,11582,73,0.000658685,3.21117E-09,0.001657234,2,0,0,0.033884084,0,0.024202917,0,0.000646637,0,4,0.220246547,1,3,6,11556,99.77975345,0,0,0.000808545,9.347973409,0,1,0,0,0.013714986,0.07422228,109111,0,0,0.0891162,123952,9.36456472,0,0,0,0,3.063589131,90.39789596,0,0.243944,0,60.5662072,0,0,0,0,0,0,0,74.61412204,0.001613528,0,0,0,0.027429973,90.41124268,11569,0,0,0,0,0,0,0,0.007749535,0,0,0,39.4337928,0.013714986,0,0,81.2741433,0,0,9.586271472,0,0,0,0,0.029733959,25809,99.99908351,12.42759733,92282,0.031463792,2.75,2,0,0.030657029,0.44774184,0.073641851,3
DINTO_1_inf_rules_mech.owl,Train,"[ELK 1 1, Konclude 1 2, TrOWL 1 3, Racer 3 4, JFact 3 4, MOReHermiT 3 4, Pellet-OA4 3 4, HermiT-OA4 3 4, ELepHant 4 9, FaCT++ 4 9]",211009,0,Timeout,67,0,Exec_err,4828,3062,Correct,211010,0,Timeout,211042,0,Timeout,4008,2452,Correct,46392,0,Exec_err,2216,1517,Correct,211014,0,Timeout,211027,0,Timeout,ALCRIQ(D),PNAN,8,0,0,3,273,0,0.001613528,123952,1,0,0,123679,6,17,11555,12,0,0,0,0.001613528,0,0,0,0,11582,73,0.000658685,3.21117E-09,0.001657234,2,0,0,0.033884084,0,0.024202917,0,0.000646637,0,4,0.220246547,1,3,6,11556,99.77975345,0,0,0.000808545,9.347973409,0,1,0,0,0.013714986,0.07422228,109111,0,0,0.0891162,123952,9.36456472,0,0,0,0,3.063589131,90.39789596,0,0.243944,0,60.5662072,0,0,0,0,0,0,0,74.61412204,0.001613528,0,0,0,0.027429973,90.41124268,11569,0,0,0,0,0,0,0,0.007749535,0,0,0,39.4337928,0.013714986,0,0,81.2741433,0,0,9.586271472,0,0,0,0,0.029733959,25809,99.99908351,12.42759733,92282,0.031463792,2.75,2,0,0.030657029,0.44774184,0.073641851,3
DINTO_rules_inferenceDDI.owl,Test,"[Konclude 1 1, ELepHant 1 2, Racer 1 3, FaCT++ 1 4, TrOWL 1 5, HermiT-OA4 1 6, ELK 1 7, JFact 1 8, Pellet-OA4 1 9, MOReHermiT 1 10]",40,10,Correct,6,0,Correct,271,21,Correct,676,91,Correct,824,275,Correct,23,3,Correct,262,19,Correct,260,64,Correct,750,121,Correct,645,61,Correct,ALH,PNAN,2,0,0,0,26,0,0,31,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,83.87096774,0,1,0,4,16.12903226,0,0,0,0,0,0,0,0,0,83.87096774,0,0,0,0,31,0,0,0,0,0,0.322580645,16.12903226,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0.8,0,0
DINTO_rules_inferenceDDI_type.owl,Train,"[Konclude 1 1, ELepHant 1 2, FaCT++ 1 3, TrOWL 1 4, ELK 1 5, HermiT-OA4 1 6, Racer 1 7, JFact 1 8, Pellet-OA4 1 9, MOReHermiT 1 10]",78,0,Correct,5,0,Correct,272,24,Correct,696,94,Correct,807,278,Correct,16,2,Correct,281,19,Correct,252,57,Correct,751,124,Correct,655,65,Correct,ALH,PNAN,2,0,0,0,26,0,0,42,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9047619,0,1,0,4,38.0952381,0,0,0,0,0,0,0,0,0,61.9047619,0,0,0,0,42,0,0,0,0,0,0.761904762,38.0952381,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,0,0,16,0,0,0,0,0,0.142105263,0,0
dl_cl-edit_neg_exp.owl,Train,"[ELK 1 1, TrOWL 2 2, Konclude 2 2, Racer 3 4, JFact 3 4, MOReHermiT 3 4, FaCT++ 3 4, Pellet-OA4 3 4, HermiT-OA4 3 4, ELepHant 4 10]",211014,0,Timeout,4,0,Exec_err,1516,0,Unexpected,211018,0,Timeout,211010,0,Timeout,134010,0,Unexpected,211009,0,Timeout,935,550,Correct,211009,0,Timeout,211009,0,Timeout,SRI,PNAN,93,0,0,3,12,0,0,7527,0,0,0,7515,2,0,143,3,1001,0,0,0,0,0,0,0,1073,21,0,0,6.555697823,0,0,0,0.518134715,12.81690141,0.026571011,0,0.005189621,0,93,0.159426066,1,8,3,144,99.84057393,0,0,1.703260146,15.94260662,0,128,0,0,0,0.066427528,3222,0,0,1.404427517,7527,14.27811045,0,0.039856517,0,2.661343979,3.345954564,83.3798326,0,0.011891629,0,77.52858399,0,0,0,0,0,0,0,61.02461743,0,0,0,200,0.026571011,41.25480154,1749,16.97823303,1326,0,0,0,0,0,0.142823137,146,68.68953386,0,0,0,0,0,2.911841419,0,0,22.3943662,0,0,0,1.942781104,0.057142857,4201,54.08970976,19.26121372,4586,0,1.666666667,512,0,0,0.033669014,0.139473684,0
DMEX.owl_functional.owl,Train,"[Konclude 1 1, ELepHant 1 2, FaCT++ 1 3, TrOWL 1 4, Racer 1 5, ELK 1 6, JFact 1 7, Pellet-OA4 1 8, HermiT-OA4 1 9, MOReHermiT 1 10]",72,0,Correct,10,0,Correct,286,26,Correct,712,111,Correct,810,270,Correct,13,2,Correct,282,20,Correct,269,72,Correct,760,129,Correct,801,198,Correct,AL(D),RL,1,0,0,0,0,0,0,133,0,0,0,0,0,2,0,0,0,0,40.95238095,0,0,0,56.19047619,0,0,10,0.125,0,0,0,0,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,95.23809524,0,0,0,0,0,0,0,105,0,0,0,0,0,0.40952381,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2
DMKB.owl_functional.owl,Train,"[Konclude 1 1, TrOWL 1 2, MOReHermiT 2 3, ELK 2 3, Racer 3 5, FaCT++ 3 5, Pellet-OA4 3 5, HermiT-OA4 3 5, ELepHant 4 9, JFact 4 9]",211013,0,Timeout,8,0,Exec_err,7223,6699,Correct,973,0,Exec_err,6122,0,Unexpected,1384,1285,Correct,211047,0,Timeout,648,0,Unexpected,211011,0,Timeout,211012,0,Timeout,SROIQ(D),DL,8,8.239708029,1,6,547,0,0,4424,131,0,0,1378,10,14,27,12,3,0,25.88501841,0.31152648,0,0.31152648,17.81365052,0,31,176,0.019886364,7.50822E-06,1.833740831,1,0,0.991220617,3.228547154,0.366748166,0.283205891,5,0.329656067,0.436681223,4,15.49136222,1,2,11,28,39.02577174,32.8125,687,5.805515239,3.143585387,3,80,1.288101559,0,0.339847069,3.058623619,249,0,6,6.534090909,3531,2.249637155,16.01466993,0.084961767,0.366748166,0.362844702,1.369583687,32.6536392,231,0.148766328,0,52.83446712,1606,0.58224163,0,0,0,0.122249389,0.792976494,77.72133527,0,0,0.611246944,5,1.416029453,30.4400978,125,6.723716381,55,0,28.2396088,0,2,1,0.142247511,1,0,0.084961767,0,0.339847069,0,0,3.082901554,0,1.814058957,15.28117359,0,6.802721088,0,0.07256894,0.021168831,704,50.34013605,31.29251701,1071,4.644576607,2.25,15,0,4.616256018,0.03758164,0.056486043,6
DMOP.owl_functional.owl,Train,"[Konclude 1 1, TrOWL 1 2, MOReHermiT 2 3, ELK 2 3, Racer 3 5, FaCT++ 3 5, Pellet-OA4 3 5, HermiT-OA4 3 5, ELepHant 4 9, JFact 4 9]",211038,0,Timeout,7,0,Exec_err,4780,4287,Correct,948,0,Exec_err,6128,0,Unexpected,760,698,Correct,211069,0,Timeout,648,0,Unexpected,211008,0,Timeout,211008,0,Timeout,SROIQ(D),DL,8,8.477671233,1,6,513,0,0,3687,139,0,0,1473,10,14,28,11,3,0,20.5743366,0.399854598,0,0.399854598,5.670665213,0,35,166,0.018494055,6.46313E-06,2.137767221,1,0,0.581606688,4.107597237,0.356294537,0.327153762,6,0.284747847,0.683371298,4,18.64776445,1,1,11,29,53.54416576,26.02377807,439,5.091649695,3.998545983,3,75,1.010834962,0,0.436205016,3.598691385,291,0,6,5.812417437,2751,2.376103191,16.50831354,0.145401672,0.356294537,0.339443313,1.713195202,45.43802254,197,0.143245078,0,59.48103792,765,0.911161731,0,0,0,0.118764846,0.981461287,78.20773931,0,0,0.712589074,5,1.635768811,34.56057007,120,7.600950119,64,0,23.39667458,0,2,1,0,0,0.199600798,0.109051254,0,0.436205016,0,0,3.036866359,0,1.796407186,14.25178147,0,5.389221557,0,0,0.020664476,757,54.69061876,29.34131737,1152,5.597964377,2.2,18,0,5.561613959,0.036197235,0.060162602,6
DMOPobsolete.owl_functional.owl,Train,"[Konclude 1 1, ELepHant 1 2, FaCT++ 1 3, TrOWL 1 4, Racer 1 5, HermiT-OA4 1 6, ELK 1 7, JFact 1 8, Pellet-OA4 1 9, MOReHermiT 1 10]",29,0,Correct,5,0,Correct,254,18,Correct,665,80,Correct,798,277,Correct,11,1,Correct,270,16,Correct,263,62,Correct,717,99,Correct,652,60,Correct,ALH,FULL,1,0,0,2,3,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,3,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,33.33333333,1,0,0,33.33333333,0,0,0
DPC1.owl_functional.owl,Train,"[TrOWL 1 1, Konclude 1 2, FaCT++ 1 3, Racer 1 4, HermiT-OA4 1 5, MOReHermiT 2 6, ELK 2 6, JFact 3 8, Pellet-OA4 3 8, ELepHant 4 10]",101355,76810,Correct,24,0,Exec_err,4739,2618,Correct,211021,0,Timeout,3180,0,Unexpected,4538,2880,Correct,28782,26723,Correct,1604,0,Unexpected,211019,0,Timeout,80903,78880,Correct,ALCIF(D),DL,74,0,0,0,89,0,0,57033,0,0,0,33,0,84,5,0,20,0,28.07161032,0,0,0.152671756,71.70665213,0,8,10,0.04375,0,10.20408163,0,0,0,0,40.81632653,0,0,0,0,5,0.16175936,0,1,0,5,0.05997819,0,28023,3.03030303,0.001817521,0,1,0.181349078,0,0,0,9,0,0,0,55020,24.24242424,0,0,0,9.090909091,3.212086514,0.058160669,0,0.303030303,0,100,54898,0,0,0,0,0,0,72.72727273,0,0,0,3,0.009087605,18.36734694,12,6.12244898,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,24.48979592,0,0,0,0,0,1920,0,0,24,0,0,5,0,0,0.002603618,0,2
DPC2.owl_functional.owl,Train,"[TrOWL 1 1, Konclude 1 2, FaCT++ 1 3, Racer 1 4, MOReHermiT 2 5, ELK 2 5, JFact 3 7, Pellet-OA4 3 7, HermiT-OA4 3 7, ELepHant 4 10]",126015,95630,Correct,15,0,Exec_err,4986,2707,Correct,211020,0,Timeout,3478,0,Unexpected,5049,3065,Correct,50544,48294,Correct,1645,0,Unexpected,211014,0,Timeout,211008,0,Timeout,ALCIF(D),DL,74,0,0,0,89,0,0,82090,0,0,0,33,0,84,5,0,20,0,19.2876856,0,0,0.104899035,80.55996104,0,8,10,0.04375,0,10.20408163,0,0,0,0,40.81632653,0,0,0,0,5,0.111143025,0,1,0,5,0.041210335,0,40601,3.03030303,0.001248798,0,1,0.124689545,0,0,0,9,0,0,0,80077,24.24242424,0,0,0,9.090909091,2.206988274,0.039961537,0,0.303030303,0,100,79955,0,0,0,0,0,0,72.72727273,0,0,0,3,0.00624399,18.36734694,12,6.12244898,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,24.48979592,0,0,0,0,0,1920,0,0,24,0,0,5,0,0,0.002603618,0,2
